ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
129289,Wei Ning,Female,22.0,167.0,60.0,China,CHN,2004 Summer,2004,Summer,Athina,Shooting,Shooting Women's Skeet,Silver
129289,Wei Ning,Female,29.0,167.0,60.0,China,CHN,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Skeet,Silver
129294,Wei Qiuyue,Female,19.0,182.0,65.0,China,CHN,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Bronze
129294,Wei Qiuyue,Female,27.0,182.0,65.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold
129296,Wei Yili,Female,26.0,175.0,68.0,China-2,CHN,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Doubles,Bronze
129302,Andrew Weibrecht,Male,24.0,170.0,86.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
129302,Andrew Weibrecht,Male,27.0,170.0,86.0,United States,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Super G,Silver
129331,"Douglas Daniel ""Doug"" Weight",Male,31.0,180.0,91.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
129338,Saul Weigopwa,Male,18.0,175.0,71.0,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
129351,Kerry Pauline Weiland,Female,29.0,163.0,62.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
129372,Richard Weinberger,Male,22.0,184.0,72.0,Canada,CAN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 10 kilometres Open Water,Bronze
129381,"Johannes-Maximilian ""Max"" Weinhold",Male,26.0,196.0,100.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Gold
129381,"Johannes-Maximilian ""Max"" Weinhold",Male,30.0,196.0,100.0,Germany,GER,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Gold
129382,Steffen Weinhold,Male,30.0,191.0,94.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Bronze
129402,Amanda Jo Weir (-Davis),Female,18.0,188.0,77.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
129402,Amanda Jo Weir (-Davis),Female,18.0,188.0,77.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
129402,Amanda Jo Weir (-Davis),Female,26.0,188.0,77.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
129402,Amanda Jo Weir (-Davis),Female,30.0,188.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
129409,Warren Antonio Weir,Male,22.0,178.0,75.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,Bronze
129416,Frdric Jean Santo Weis,Male,23.0,218.0,110.0,France,FRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Silver
129439,Tibor Weienborn,Male,23.0,175.0,70.0,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Bronze
129439,Tibor Weienborn,Male,27.0,175.0,70.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Gold
129466,Gerda Weissensteiner,Female,37.0,166.0,63.0,Italy-1,ITA,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Women's Two,Bronze
129476,Abbey Weitzeil,Female,19.0,178.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
129476,Abbey Weitzeil,Female,19.0,178.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
129487,Stuart Welch,Male,22.0,195.0,86.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver
129487,Stuart Welch,Male,26.0,195.0,86.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Bronze
129500,Niklas Wellen,Male,21.0,185.0,77.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Bronze
129508,Ronny Weller,Male,31.0,183.0,130.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
129511,Andreas Wellinger,Male,18.0,183.0,65.0,Germany,GER,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Gold
129536,Kellie Wells,Female,30.0,163.0,57.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres Hurdles,Bronze
129538,"Matthew Wayne ""Matt"" Wells",Male,22.0,184.0,77.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
129538,"Matthew Wayne ""Matt"" Wells",Male,26.0,184.0,77.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
129538,"Matthew Wayne ""Matt"" Wells",Male,30.0,184.0,77.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
129540,"Matthew Ward ""Matt"" Wells",Male,28.0,190.0,93.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,Bronze
129553,Andreas Wels,Male,29.0,181.0,74.0,Germany,GER,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Synchronized Springboard,Silver
129557,Sam Welsford,Male,20.0,179.0,82.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
129561,"Matthew James ""Matt"" Welsh",Male,23.0,188.0,80.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,Silver
129561,"Matthew James ""Matt"" Welsh",Male,23.0,188.0,80.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Backstroke,Bronze
129561,"Matthew James ""Matt"" Welsh",Male,23.0,188.0,80.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
129570,Miriam Welte,Female,25.0,171.0,67.0,Germany,GER,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Team Sprint,Gold
129570,Miriam Welte,Female,29.0,171.0,67.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Sprint,Bronze
129571,Lidewij Marsia Maria Welten,Female,18.0,170.0,64.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
129571,Lidewij Marsia Maria Welten,Female,22.0,170.0,64.0,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
129571,Lidewij Marsia Maria Welten,Female,26.0,170.0,64.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver
129601,Phillipp Wende,Male,27.0,199.0,90.0,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,Gold
